"index","Job Title","Company Name","Company Star Rating","Company Location","Required Skills","URL"
11,"Data Analyst, Business Intelligence (Toronto)",StackAdapt,4.4,Canada,"Python, SQL, Tableau, R, Scala",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_f6626fd8&cb=1647444132251&jobListingId=1007349800226&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-02b2d66067f2993a-
12,Business Intelligence Analyst,BRP,4.1,Sherbrooke,"SQL, Excel, Microsoft office, PowerPoint",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_5813d14e&cb=1647444132251&jobListingId=1007648629944&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-00898f9a24a6f73d-
14,Business Intelligence Analyst II,The Co-operators,4.0,Calgary,"Python, SQL, Power BI, Azure, R",https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_e0524dff&cb=1647444132251&jobListingId=1007703321350&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-c613b41afb878e37-
15,Associate Business Analyst,Olympus Corporation of the Americas,3.6,Richmond Hill,"Excel, PowerPoint",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_0b7f5211&cb=1647444132253&jobListingId=1007717681491&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-410b6fd5160d3ca9-
16,Business Intelligence Analyst,Province of Nova Scotia,3.9,Halifax,"SQL, Tableau, R, MATLAB",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_83f98a2b&cb=1647444132250&jobListingId=1007687281659&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-ffc8fb5713130b8a-
17,Business Intelligence Analyst III - Data engineer,The Co-operators,4.0,Canada,"SQL, Azure",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_c30f7b30&cb=1647444132252&jobListingId=1007705765487&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-63e6db7460f9cda1-
18,Senior Business Intelligence Analyst,CBRE,3.9,Toronto,"Excel, MS office",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_852a08f6&cb=1647444132251&jobListingId=1007705936579&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-f38b846415ccc7eb-
19,Analyst - Business Intelligence,TD Bank,4.0,Toronto,"Python, SQL, Tableau, Excel, MS office, Scala",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_9a5ba57e&cb=1647444132251&jobListingId=1007713812881&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-5587aff862364103-
20,Business Analyst,Ezoic Canada,,Edmonton,"SQL, Excel",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d0a2a1bd&cb=1647444132252&jobListingId=1007635285778&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-b2d34b217d7224e4-
22,Senior Audit Data Analyst and Business Intelligence,Air Canada,3.9,Dorval,"Python, SQL, Tableau, Power BI, Excel, R",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000017f93527ffc93c0e2c4c92a999f&src=GD_JOB_AD&t=SR&vt=w&cs=1_782c974d&cb=1647444132251&jobListingId=1007719527870&jrtk=3-0-1fu9l5027u3lf801-1fu9l502lu1h8800-b1b03412d2391947-
